=== PIPELINE DEPTH: 1 ===
2         Threads
20        Connections per thread
20000     Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets        68832.35          ---          ---         0.52234         0.41500         1.95100         6.97500      5309.92 
Gets         7648.04        11.47      7636.57         0.51893         0.41500         1.87100         6.75100       299.08 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      76480.39        11.47      7636.57         0.52200         0.41500         1.93500         6.97500      5609.01 


Request Latency Distribution
Type     <= msec         Percent
20000     Requests per client


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets       651383.28          ---          ---         2.75392         2.36700         9.15100        18.81500     50249.56 
Gets        72375.92       108.56     72267.36         2.75392         2.36700         9.15100        18.81500      2830.33 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals     723759.21       108.56     72267.36         2.75392         2.36700         9.15100        18.81500     53079.89 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.183        0.000
SET       1.415        5.000
SET       1.559       10.000
SET       1.671       15.000
SET       1.775       20.000
SET       1.879       25.000
SET       1.975       30.000
SET       2.079       35.000
SET       2.175       40.000
SET       2.271       45.000
SET       2.367       50.000
SET       2.415       52.500
SET       2.479       55.000
SET       2.527       57.500
SET       2.607       60.000
SET       2.687       62.500
SET       2.767       65.000
SET       2.863       67.500
SET       2.943       70.000
SET       3.055       72.500
SET       3.151       75.000
SET       3.215       76.250
SET       3.279       77.500
SET       3.327       78.750
SET       3.391       80.000
SET       3.471       81.250
SET       3.535       82.500
SET       3.615       83.750
SET       3.711       85.000
SET       3.775       86.250
SET       3.887       87.500
SET       3.935       88.125
SET       3.999       88.750
SET       4.063       89.375
SET       4.127       90.000
SET       4.223       90.625
SET       4.287       91.250
SET       4.383       91.875
SET       4.511       92.500
SET       4.607       93.125
SET       4.767       93.750
SET       4.831       94.062
SET       4.927       94.375
SET       5.023       94.688
SET       5.151       95.000
SET       5.279       95.312
SET       5.407       95.625
SET       5.567       95.938
SET       5.759       96.250
SET       5.983       96.562
SET       6.239       96.875
SET       6.367       97.031
SET       6.527       97.188
SET       6.687       97.344
SET       6.847       97.500
SET       7.007       97.656
SET       7.199       97.812
SET       7.327       97.969
SET       7.519       98.125
SET       7.711       98.281
SET       7.967       98.438
SET       8.031       98.516
SET       8.159       98.594
SET       8.383       98.672
SET       8.511       98.750
SET       8.639       98.828
SET       8.831       98.906
SET       9.151       98.984
SET       9.343       99.062
SET       9.983       99.141
SET      10.495       99.219
SET      10.815       99.258
SET      11.007       99.297
SET      11.199       99.336
SET      11.455       99.375
SET      11.711       99.414
SET      12.287       99.453
SET      12.415       99.492
SET      12.671       99.531
SET      13.119       99.570
SET      13.503       99.609
SET      13.695       99.629
SET      13.951       99.648
SET      14.143       99.668
SET      14.399       99.688
SET      14.463       99.707
SET      14.719       99.727
SET      15.039       99.746
SET      15.615       99.766
SET      15.807       99.785
SET      15.871       99.805
SET      16.063       99.814
SET      16.255       99.824
SET      17.023       99.834
SET      17.151       99.844
SET      17.407       99.854
SET      17.919       99.863
SET      17.919       99.873
SET      18.431       99.883
SET      18.687       99.893
SET      18.943       99.902
SET      19.199       99.907
SET      19.199       99.912
SET      19.455       99.917
SET      19.455       99.922
SET      19.583       99.927
SET      19.839       99.932
SET      19.839       99.937
SET      19.967       99.941
SET      20.095       99.946
SET      20.351       99.951
SET      20.351       99.954
SET      20.351       99.956
SET      20.479       99.958
SET      20.479       99.961
SET      20.735       99.963
SET      20.735       99.966
SET      20.735       99.968
SET      21.631       99.971
SET      21.631       99.973
SET      21.759       99.976
SET      21.759       99.977
SET      21.759       99.978
SET      21.759       99.979
SET      21.759       99.980
SET      22.143       99.982
SET      22.143       99.983
SET      22.143       99.984
SET      22.143       99.985
SET      22.143       99.987
SET      22.399       99.988
SET      22.399       99.988
SET      22.399       99.989
SET      22.399       99.990
SET      22.399       99.990
SET      22.399       99.991
SET      22.399       99.991
SET      22.399       99.992
SET      22.399       99.993
SET      22.399       99.993
SET      22.655       99.994
SET      22.655      100.000
---
GET       0.183        0.000
GET       1.415        5.000
GET       1.559       10.000
GET       1.671       15.000
GET       1.775       20.000
GET       1.879       25.000
GET       1.975       30.000
GET       2.079       35.000
GET       2.175       40.000
GET       2.271       45.000
GET       2.367       50.000
GET       2.415       52.500
GET       2.479       55.000
GET       2.527       57.500
GET       2.607       60.000
GET       2.687       62.500
GET       2.767       65.000
GET       2.863       67.500
GET       2.943       70.000
GET       3.055       72.500
GET       3.151       75.000
GET       3.215       76.250
GET       3.279       77.500
GET       3.327       78.750
GET       3.391       80.000
GET       3.471       81.250
GET       3.535       82.500
GET       3.615       83.750
GET       3.711       85.000
GET       3.775       86.250
GET       3.887       87.500
GET       3.935       88.125
GET       3.999       88.750
GET       4.063       89.375
GET       4.127       90.000
GET       4.223       90.625
GET       4.287       91.250
GET       4.383       91.875
GET       4.511       92.500
GET       4.607       93.125
GET       4.767       93.750
GET       4.831       94.062
GET       4.927       94.375
GET       5.023       94.688
GET       5.151       95.000
GET       5.279       95.312
GET       5.407       95.625
GET       5.567       95.938
GET       5.759       96.250
GET       5.983       96.562
GET       6.239       96.875
GET       6.367       97.031
GET       6.527       97.188
GET       6.687       97.344
GET       6.847       97.500
GET       7.007       97.656
GET       7.199       97.812
GET       7.327       97.969
GET       7.519       98.125
GET       7.711       98.281
GET       7.967       98.438
GET       8.031       98.516
GET       8.159       98.594
GET       8.383       98.672
GET       8.511       98.750
GET       8.639       98.828
GET       8.831       98.906
GET       9.151       98.984
GET       9.343       99.062
GET       9.983       99.141
GET      10.495       99.219
GET      10.815       99.258
GET      11.007       99.297
GET      11.199       99.336
GET      11.455       99.375
GET      11.711       99.414
GET      12.287       99.453
GET      12.415       99.492
GET      12.671       99.531
GET      13.119       99.570
GET      13.503       99.609
GET      13.695       99.629
GET      13.951       99.648
GET      14.143       99.668
GET      14.399       99.688
GET      14.463       99.707
GET      14.719       99.727
GET      15.039       99.746
GET      15.615       99.766
GET      15.807       99.785
GET      15.871       99.805
GET      16.063       99.814
GET      16.255       99.824
GET      17.023       99.834
GET      17.151       99.844
GET      17.407       99.854
GET      17.919       99.863
GET      17.919       99.873
GET      18.431       99.883
GET      18.687       99.893
GET      18.943       99.902
GET      19.199       99.907
GET      19.199       99.912
GET      19.455       99.917
GET      19.455       99.922
GET      19.583       99.927
GET      19.839       99.932
GET      19.839       99.937
GET      19.967       99.941
GET      20.095       99.946
GET      20.351       99.951
GET      20.351       99.954
GET      20.351       99.956
GET      20.479       99.958
GET      20.479       99.961
GET      20.735       99.963
GET      20.735       99.966
GET      20.735       99.968
GET      21.631       99.971
GET      21.631       99.973
GET      21.759       99.976
GET      21.759       99.977
GET      21.759       99.978
GET      21.759       99.979
GET      21.759       99.980
GET      22.143       99.982
GET      22.143       99.983
GET      22.143       99.984
GET      22.143       99.985
GET      22.143       99.987
GET      22.399       99.988
GET      22.399       99.988
GET      22.399       99.989
GET      22.399       99.990
GET      22.399       99.990
GET      22.399       99.991
GET      22.399       99.991
GET      22.399       99.992
GET      22.399       99.993
GET      22.399       99.993
GET      22.655       99.994
GET      22.655      100.000
---
WAIT      0.000      100.000




